fundcode,name,jzrq,dwjz,gsz,gszzl,gztime,fetch_time
001701,国联产业升级混合,2026-05-19,3.1500,3.1615,0.37,2026-05-20 13:08,2026-05-20 13:11:48
010364,鹏华空天军工指数(LOF)C,2026-05-19,1.1206,1.1161,-0.40,2026-05-20 13:09,2026-05-20 13:11:48
023639,国泰A股电网设备ETF联接C,2026-05-19,2.1542,2.1576,0.16,2026-05-20 13:08,2026-05-20 13:11:48
017103,大摩数字经济混合C,2026-05-19,3.9413,3.9604,0.49,2026-05-20 13:08,2026-05-20 13:11:48
020900,天弘中证全指通信设备指数发起C,2026-05-19,3.7899,3.7963,0.17,2026-05-20 13:07,2026-05-20 13:11:48
022365,永赢科技智选混合发起C,2026-05-19,5.1708,5.2007,0.58,2026-05-20 13:07,2026-05-20 13:11:48
025422,浦银安盛数字经济混合C,2026-05-19,2.1333,2.1336,0.02,2026-05-20 13:07,2026-05-20 13:11:48
005885,金鹰信息产业股票C,2026-05-19,5.4285,5.5219,1.72,2026-05-20 13:08,2026-05-20 13:11:48
025491,平安中证卫星产业指数C,2026-05-19,1.2249,1.2178,-0.58,2026-05-20 13:08,2026-05-20 13:11:48
004409,招商深证TMT50ETF联接C,2026-05-19,3.6390,3.6386,-0.01,2026-05-20 13:09,2026-05-20 13:11:48
001630,天弘中证计算机ETF联接C,2026-05-19,0.9085,0.8994,-1.00,2026-05-20 13:09,2026-05-20 13:11:48
019548,招商纳斯达克100ETF发起式联接(QDII)C,2026-05-18,1.5427,1.5338,-0.58,2026-05-20 04:00,2026-05-20 13:11:48
011120,富国创新科技混合C,2026-05-19,4.5970,4.6324,0.77,2026-05-20 13:08,2026-05-20 13:11:48
025833,天弘电网设备特高压指数C,2026-05-19,1.4748,1.4787,0.27,2026-05-20 13:07,2026-05-20 13:11:48
016531,鹏华碳中和主题混合C,2026-05-19,2.0281,2.0100,-0.89,2026-05-20 13:09,2026-05-20 13:11:48
025949,诺安研究精选股票C,2026-05-19,3.0170,3.0088,-0.27,2026-05-20 13:07,2026-05-20 13:11:48
164205,天弘文化新兴产业股票A,2026-05-19,4.2966,4.3365,0.93,2026-05-20 13:07,2026-05-20 13:11:48
020256,中欧中证机器人指数发起C,2026-05-19,1.8213,1.8098,-0.63,2026-05-20 13:08,2026-05-20 13:11:48
000136,民生加银策略精选混合A,2026-05-19,4.9772,4.9771,0.00,2026-05-20 13:09,2026-05-20 13:11:48
023519,国投瑞银上证科创板200指数发起式C,2026-05-19,1.8594,1.8760,0.89,2026-05-20 13:08,2026-05-20 13:11:48
005911,广发双擎升级混合A,2026-05-19,2.5601,2.5708,0.42,2026-05-20 13:09,2026-05-20 13:11:48
014162,万家人工智能混合C,2026-05-19,4.2559,4.3407,1.99,2026-05-20 13:09,2026-05-20 13:11:48
000595,嘉实泰和混合,2026-05-19,3.8900,3.8890,-0.03,2026-05-20 13:09,2026-05-20 13:11:48
024751,兴业上证科创板人工智能指数C,2026-05-19,1.2081,1.2137,0.47,2026-05-20 13:08,2026-05-20 13:11:48
018124,永赢先进制造智选混合发起A,2026-05-19,2.5785,2.5512,-1.06,2026-05-20 13:08,2026-05-20 13:11:48
023896,天弘上证科创板综合指数增强C,2026-05-19,1.8640,1.8999,1.93,2026-05-20 13:08,2026-05-20 13:11:48
000043,嘉实美国成长股票人民币,2026-05-18,6.2610,6.2229,-0.61,2026-05-20 04:00,2026-05-20 13:11:48
018185,万家先进制造混合发起式C,2026-05-19,1.4131,1.4124,-0.05,2026-05-20 13:08,2026-05-20 13:11:48
320022,诺安研究精选股票A,2026-05-19,3.0230,3.0144,-0.28,2026-05-20 13:08,2026-05-20 13:11:48
017470,嘉实上证科创板芯片ETF发起联接C,2026-05-19,2.8924,3.0069,3.96,2026-05-20 13:08,2026-05-20 13:11:48
519126,浦银安盛新经济结构混合A,2026-05-19,2.5723,2.5814,0.35,2026-05-20 13:07,2026-05-20 13:11:48
320007,诺安成长混合A,2026-05-19,2.3460,2.4483,4.36,2026-05-20 13:06,2026-05-20 13:11:48
020465,招商中证半导体产业ETF发起式联接C,2026-05-19,3.3565,3.5418,5.52,2026-05-20 13:08,2026-05-20 13:11:48
015897,天弘中证细分化工产业主题ETF联接C,2026-05-19,0.9326,0.9513,2.00,2026-05-20 13:07,2026-05-20 13:11:48
011474,工银信息产业混合C,2026-05-19,5.1860,5.2121,0.50,2026-05-20 13:09,2026-05-20 13:11:48
003853,金鹰信息产业股票A,2026-05-19,5.5512,5.6442,1.67,2026-05-20 13:09,2026-05-20 13:11:48
017522,富国北证50成份指数C,2026-05-19,1.2815,1.2723,-0.72,2026-05-20 13:08,2026-05-20 13:11:48
014419,西部利得CES芯片指数增强C,2026-05-19,1.6265,1.6968,4.32,2026-05-20 13:08,2026-05-20 13:11:48
000263,工银信息产业混合A,2026-05-19,5.3230,5.3498,0.50,2026-05-20 13:09,2026-05-20 13:11:48
014642,摩根新兴动力混合C,2026-05-19,12.5686,12.7265,1.26,2026-05-20 13:08,2026-05-20 13:11:48
519767,交银科技创新灵活配置混合A,2026-05-19,2.8317,2.8400,0.29,2026-05-20 13:07,2026-05-20 13:11:48
026623,招商上证科创板芯片设计主题指数发起式C,2026-05-19,1.2548,1.2777,1.82,2026-05-20 13:07,2026-05-20 13:11:48
